"Etiquetas de fila","2017_corrupcion","2018_corrupcion","2019_corrupcion","2020_corrupcion","2021_corrupcion","2022_corrupcion","2023_corrupcion","2024_corrupcion","2017_IDH","2018_IDH","2019_IDH","2020_IDH","2021_IDH","2022_IDH","2023_IDH","2024_IDH","2017_PIM","2018_PIM","2019_PIM","2020_PIM","2021_PIM","2022_PIM","2023_PIM","2024_PIM","2017_Devengado","2018_Devengado2","2019_Devengado22","2020_Devengado2","2021_Devengado3","2022_Devengado23","2023_Devengado3","2024_Devengado4","2018_fragment","2022_fragment"
"CUSCO_PARURO","0","0","1","3","4","3","4","2","0.39038160443306","0.38810756802559","0.38685482740402","0.38965392112732","0.37242239713669","0.4272129535675","0.43973389267921","0.4409644305706","  12,354,391 ","  21,003,703 ","  13,222,110 ","  48,626,196 ","  59,387,821 ","  23,924,870 ","  18,254,372 ","  28,708,728 ","  8,301,022 ","  16,792,916 ","  11,836,857 ","  23,451,574 ","  37,612,831 ","  19,109,230 ","  11,543,357 ","  15,279,779 ","  7 ","  7 "
"CUSCO_PAUCARTAMBO","0","0","1","2","3","5","2","6","0.3874237537384","0.36550870537758","0.37632369995117","0.36961534619331","0.36054313182831","0.41899836063385","0.42884537577629","0.43774116039276","  23,581,840 ","  25,519,955 ","  27,703,806 ","  86,577,269 ","  78,016,240 ","  63,649,897 ","  74,898,930 ","  56,247,672 ","  19,266,228 ","  20,950,922 ","  21,738,580 ","  41,684,374 ","  64,588,158 ","  47,928,854 ","  58,750,387 ","  53,220,810 ","  9 ","  6 "
"CUSCO_QUISPICANCHI","1","2","4","4","1","2","3","8","0.48438787460327","0.46907806396484","0.48813763260841","0.42723873257637","0.42981320619583","0.4894905090332","0.5081792473793","0.51639479398727","  39,922,489 ","  36,394,891 ","  50,838,108 ","  83,935,095 ","  44,116,122 ","  42,038,824 ","  38,374,749 ","  39,329,020 ","  33,244,206 ","  28,390,067 ","  40,897,892 ","  53,133,673 ","  36,664,040 ","  33,046,732 ","  35,401,969 ","  32,825,565 ","  8 ","  7 "
"CUSCO_URUBAMBA","10","13","12","9","9","15","10","19","0.55983382463455","0.56386232376099","0.5696856379509","0.49193978309631","0.50718551874161","0.57316344976425","0.58680504560471","0.58923316001892","  36,124,771 ","  33,042,937 ","  39,235,604 ","  48,076,217 ","  36,675,386 ","  55,205,536 ","  60,009,115 ","  58,419,257 ","  29,227,154 ","  25,136,663 ","  25,363,619 ","  41,689,490 ","  32,860,231 ","  41,394,911 ","  50,241,208 ","  50,026,610 ","  10 ","  8 "
"HUANCAVELICA_ACOBAMBA","1","1","1","1","1","1","0","3","0.43234947323799","0.42959961295128","0.43546384572983","0.44977769255638","0.47703382372856","0.47907364368439","0.50054496526718","0.51276451349258","  26,385,791 ","  36,343,211 ","  34,365,096 ","  56,702,542 ","  45,845,081 ","  28,258,896 ","  22,548,714 ","  27,909,440 ","  18,633,187 ","  27,938,172 ","  28,369,243 ","  29,756,520 ","  36,677,696 ","  22,408,256 ","  19,440,031 ","  16,146,066 ","  7 ","  4 "
"HUANCAVELICA_ANGARAES","0","4","5","0","6","4","4","1","0.42931658029556","0.46670815348625","0.46438279747963","0.49604293704033","0.50019526481628","0.50831258296967","0.52803510427475","0.53603273630142","  50,337,996 ","  43,934,323 ","  40,094,318 ","  72,855,985 ","  54,142,008 ","  56,764,602 ","  72,589,856 ","  54,521,869 ","  34,955,960 ","  36,157,093 ","  31,084,029 ","  40,127,467 ","  45,195,428 ","  29,171,246 ","  54,818,246 ","  40,871,823 ","  9 ","  4 "
"HUANCAVELICA_CASTROVIRREYNA","0","2","1","2","0","1","5","1","0.42515370249748","0.44096654653549","0.44802415370941","0.4786342382431","0.48859137296677","0.50376844406128","0.50743502378464","0.52661556005478","  13,445,574 ","  11,281,443 ","  12,696,586 ","  62,152,364 ","  50,113,996 ","  36,836,471 ","  11,762,608 ","  15,967,532 ","  11,020,043 ","  9,346,836 ","  8,668,719 ","  24,819,440 ","  27,874,170 ","  22,977,512 ","  8,183,062 ","  8,174,801 ","  8 ","  4 "
"HUANCAVELICA_CHURCAMPA","1","2","3","3","13","1","5","7","0.40596029162407","0.40947461128235","0.42860409617424","0.45026364922523","0.45662018656731","0.45117357373238","0.47345575690269","0.50704824924469","  17,408,269 ","  12,551,694 ","  14,117,283 ","  38,341,541 ","  40,161,921 ","  34,735,394 ","  21,105,010 ","  18,923,649 ","  14,648,210 ","  8,822,162 ","  10,367,360 ","  16,351,867 ","  31,038,994 ","  24,326,213 ","  16,894,053 ","  12,529,919 ","  5 ","  5 "
"HUANCAVELICA_HUANCAVELICA","3","3","4","6","6","8","12","19","0.47985836863518","0.51537936925888","0.51375037431717","0.51339137554169","0.54137146472931","0.56851768493652","0.57362800836563","0.58167135715485","  51,839,120 ","  52,358,952 ","  73,622,044 ","  95,886,022 ","  72,268,336 ","  84,289,503 ","  74,674,575 ","  60,907,642 ","  35,941,257 ","  41,849,615 ","  46,930,438 ","  60,961,177 ","  60,507,237 ","  57,108,555 ","  66,422,439 ","  53,757,901 ","  10 ","  3 "
"HUANCAVELICA_HUAYTARA","1","0","1","0","0","0","3","1","0.45311293005943","0.44849276542664","0.46143195033073","0.46867626905441","0.49718901515007","0.49767732620239","0.4965136051178","0.5317879319191","  8,528,492 ","  11,839,458 ","  14,855,288 ","  47,995,082 ","  29,346,963 ","  20,130,521 ","  31,024,955 ","  18,718,643 ","  5,699,371 ","  9,545,596 ","  12,769,077 ","  29,536,599 ","  22,061,828 ","  11,603,717 ","  18,782,969 ","  14,019,238 ","  9 ","  4 "
